sno,NAME,Population,crime,crimerate,LAT,LON,website,picture,,,,,,,,
1,Andaman and Nicobar,4.2 Lakhs,147,3,11.94237332,92.88957896,http://citizen.andaman.gov.in,https://upload.wikimedia.org/wikipedia/commons/6/63/Havelock%2C_Andaman_%26_Nicobar_Islands.JPG,,,,,,,,
2,Andhra Pradesh,5.44 Crores,16438,17,16.5541242,79.91620298,http://www.appolice.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/andhra-pradesh-iwif-2016-1.jpg,,,,,,,,
3,Arunachal Pradesh,15.92 Lakhs,368,14,27.72576542,94.54532681,http://www.arunpol.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/arunachal-pradesh-iwif-2016.jpg,,,,,,,,
4,Assam,3.60 Crores,27728,23,26.32134089,92.65731036,https://assampolice.assam.gov.in/citizen/login.aspx,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/assam-iwif-2016.jpg,,,,,,,,
5,Bihar,12.70 Crores,16920,5,25.77139354,85.63677401,http://biharpolice.bih.nic.in/,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/bihar-iwif-2016.jpg,,,,,,,,
6,Chandigarh,11.69 Lakhs,442,29,30.7426,76.75872466,http://citizenportal.chandigarhpolice.gov.in,https://upload.wikimedia.org/wikipedia/commons/9/99/Rajasthani_Dance_-_Opening_Ceremony_-_Wiki_Conference_India_-_CGC_-_Mohali_2016-08-05_6556.JPG,,,,,,,,
7,Chhattisgarh,2.98 Crores,8587,9,21.55573858,82.12509334,http://citizenportal.cgpolice.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/chhattisgarh-iwif-2016.jpg,,,,,,,,
8,Dadra and Nagar Haveli,3.20 Lakhs,38,22,20.21513217,73.09454961,http://citizen.dnhpolice.gov.in,https://upload.wikimedia.org/wikipedia/commons/3/34/..Dadra_and_Nagar_Haveli_Flag%28INDIA%29.png,,,,,,,,
9,Daman and Diu,1.19 Lakhs,16,28,20.49456979,72.41121191,http://citizen.ddpolice.gov.in,https://upload.wikimedia.org/wikipedia/commons/b/b5/Diu1.jpg,,,,,,,,
10,Delhi,1.90 Crores,13640,10,28.6459443,77.12804518,http://delhipolice.nic.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/delhi-iwif-2016.jpg,,,,,,,,
11,Goa,16 Lakhs,362,27,15.39350404,73.86601626,https://citizen.goapolice.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/goa-iwif-2016.jpg,,,,,,,,
12,Gujarat,6.43 Crores,8329,16,22.37440585,72.19574739,https://police.gujarat.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/gujarat-iwif-2016.jpg,,,,,,,,
13,Haryana,2.85 Crores,14326,11,29.19561628,76.52123743,http://haryanapoliceonline.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/haryana-iwif-2016.jpg,,,,,,,,
14,Himachal Pradesh,75 Lakhs,1633,1,31.64946888,76.85561814,http://hppolice.gov.in,https://thebetterindia-static.gumlet.io/wp-content/uploads/2017/03/himachal-pradesh-iwif-2016.jpg,,,,,,,,
